KEY,SPEAKER,SENTENCE,SHOW,SARCASM,SENTIMENT_IMPLICIT,SENTIMENT_EXPLICIT,EMOTION_IMPLICIT,EMOTION_EXPLICIT,,,
1_60,LEONARD,I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.,BBT,TRUE,-1,-1,1,1,,,
1_60,SHELDON,My apologies. What's your plan?,BBT,TRUE,-1,1,8,8,,,
1_60,SHELDON,It's just a privilege to watch your mind at work.,BBT,TRUE,-1,1,9,2,,,
"
",,,,,,,,,,,
1_70,HOWARD,This is one of my favorite places to kick back after a quest. They have a great house ale.,BBT,TRUE,1,1,7,7,,,
1_70,PENNY,Cool tiger.,BBT,TRUE,1,1,2,2,,,
1_70,HOWARD,"Yeah, I've had him since level ten.",BBT,TRUE,1,1,7,7,,,
1_70,HOWARD,His name is Buttons.,BBT,TRUE,1,1,2,2,,,
1_70,HOWARD,"Anyway, if you had your own game character we could hang out, maybe go on a quest.",BBT,TRUE,1,1,2,2,,,
1_70,PENNY,That sounds interesting.,BBT,TRUE,1,1,2,2,,,
1_70,HOWARD,You'll think about it?,BBT,TRUE,1,1,8,8,,,
1_70,PENNY,I don't think I'll be able to stop thinking about it.,BBT,TRUE,-1,1,9,7,,,
"
",,,,,,,,,,,
1_80,LEONARD,"Here we go. Pad thai, no peanuts.",BBT,FALSE,0,0,8,8,,,
1_80,HOWARD,But does it have peanut oil?,BBT,FALSE,-1,-1,3,3,,,
1_80,LEONARD,I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.,BBT,FALSE,-1,-1,3,3,,,
1_80,SHELDON,"Since it's not bee season, you can have my epinephrine.",BBT,FALSE,1,1,"7,2","7,2",,,
"
",,,,,,,,,,,
1_90,PENNY,A marathon? How many Superman movies are there?,BBT,FALSE,0,0,8,8,,,
1_90,SHELDON,"You're kidding, right?",BBT,FALSE,0,0,5,5,,,
1_90,PENNY,I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?,BBT,FALSE,1,1,7,7,,,
1_90,SHELDON,One.,BBT,FALSE,0,0,8,8,,,
1_90,SHELDON,You realize that scene was rife with scientific inaccuracy.,BBT,FALSE,-1,-1,8,8,,,
1_90,PENNY,"Yes, I know, men can't fly.",BBT,FALSE,1,1,2,2,,,
1_90,SHELDON,Let's assume that they can.,BBT,FALSE,0,0,8,8,,,
1_90,SHELDON,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",BBT,FALSE,0,0,8,8,,,
"
",,,,,,,,,,,
